Word,walden.txt count,lotus.txt count,walden.txt freq,lotus.txt freq,Log Likelihood
birth,5,52,0.00004,0.00047,45.86163
perchance,39,0,0.00033,0.00000,45.15102
presence,6,54,0.00005,0.00049,45.16542
rather,43,1,0.00037,0.00001,44.85773
had,535,316,0.00456,0.00286,44.71693
own,123,36,0.00105,0.00033,44.60038
when,326,165,0.00278,0.00149,44.48066
asuras,0,35,0.00000,0.00032,44.22556
supreme,0,35,0.00000,0.00032,44.22556
seat,5,51,0.00004,0.00046,44.63077
nayutas,0,35,0.00000,0.00032,44.22556
hearing,7,56,0.00006,0.00051,44.61096
Then,7,56,0.00006,0.00051,44.61096
village,69,10,0.00059,0.00009,44.49756
father,15,73,0.00013,0.00066,44.08259
prophecy,0,35,0.00000,0.00032,44.22556
find,75,13,0.00064,0.00012,43.36165
best,52,4,0.00044,0.00004,43.53572
society,38,0,0.00032,0.00000,43.87320
inconceivable,1,38,0.00001,0.00034,43.10639
Pond,37,0,0.00032,0.00000,42.59666
New,37,0,0.00032,0.00000,42.59666
necessary,37,0,0.00032,0.00000,42.59666
Adornment,0,34,0.00000,0.00031,42.83395
become,37,111,0.00032,0.00101,42.73030
existence,11,63,0.00009,0.00057,42.24531
Indian,37,0,0.00032,0.00000,42.59666
words,34,106,0.00029,0.00096,42.70710
ever,93,22,0.00079,0.00020,42.10727
outflows,0,34,0.00000,0.00031,42.83395
likewise,2,41,0.00002,0.00037,42.71402
doubts,0,34,0.00000,0.00031,42.83395
repentance,0,34,0.00000,0.00031,42.83395
first,128,41,0.00109,0.00037,41.39337
men,230,104,0.00196,0.00094,41.26430
people,29,96,0.00025,0.00087,41.33484
Maitreya,0,33,0.00000,0.00030,41.44393
vow,0,33,0.00000,0.00030,41.44393
honored,1,37,0.00001,0.00034,41.76049
farmer,36,0,0.00031,0.00000,41.32149
conditions,1,37,0.00001,0.00034,41.76049
towers,1,37,0.00001,0.00034,41.76049
encounter,0,33,0.00000,0.00030,41.44393
door,50,4,0.00043,0.00004,41.24720
embrace,0,33,0.00000,0.00030,41.44393
often,46,3,0.00039,0.00003,40.14603
Chapter,0,32,0.00000,0.00029,40.05560
each,50,129,0.00043,0.00117,40.57517
teachings,0,32,0.00000,0.00029,40.05560
passed,26,90,0.00022,0.00081,40.59697
God,35,0,0.00030,0.00000,40.04774
quite,35,0,0.00030,0.00000,40.04774
few,76,15,0.00065,0.00014,39.98835
round,51,5,0.00044,0.00005,39.13941
run,42,2,0.00036,0.00002,39.24998
sand,39,1,0.00033,0.00001,39.91879
England,34,0,0.00029,0.00000,38.77551
could,177,73,0.00151,0.00066,38.28973
soon,50,5,0.00043,0.00005,38.03194
born,13,64,0.00011,0.00058,38.83463
women,12,62,0.00010,0.00056,38.87390
death,11,60,0.00009,0.00054,38.95727
teaching,0,31,0.00000,0.00028,38.66906
guard,2,38,0.00002,0.00034,38.80133
quickly,1,34,0.00001,0.00031,37.73919
beans,33,0,0.00028,0.00000,37.50487
race,37,1,0.00032,0.00001,37.46324
causing,2,37,0.00002,0.00034,37.50421
Therefore,2,36,0.00002,0.00033,36.21096
reverence,6,47,0.00005,0.00043,36.82114
Suppose,1,33,0.00001,0.00030,36.40474
treasure,2,36,0.00002,0.00033,36.21096
higher,36,1,0.00031,0.00001,36.23936
capable,2,36,0.00002,0.00033,36.21096
came,100,30,0.00085,0.00027,35.05225
eight,16,67,0.00014,0.00061,35.89822
Excellent,0,29,0.00000,0.00026,35.90182
bring,7,48,0.00006,0.00043,35.28575
days,67,13,0.00057,0.00012,35.58315
fully,1,32,0.00001,0.00029,35.07357
lotus,1,32,0.00001,0.00029,35.07357
yojanas,0,29,0.00000,0.00026,35.90182
asamkhya,0,29,0.00000,0.00026,35.90182
mile,31,0,0.00026,0.00000,34.96877
field,44,4,0.00038,0.00004,34.47051
banners,0,28,0.00000,0.00025,34.52138
His,21,75,0.00018,0.00068,34.80440
gold,4,40,0.00003,0.00036,34.33715
against,41,3,0.00035,0.00003,34.36839
animal,31,0,0.00026,0.00000,34.96877
farm,31,0,0.00026,0.00000,34.96877
Translated,0,28,0.00000,0.00025,34.52138
Burton,0,28,0.00000,0.00025,34.52138
Watson,0,28,0.00000,0.00025,34.52138
expounded,0,28,0.00000,0.00025,34.52138
kalpa,0,28,0.00000,0.00025,34.52138
Constellation,0,28,0.00000,0.00025,34.52138
labor,40,3,0.00034,0.00003,33.22461
neighbors,30,0,0.00026,0.00000,33.70352
palaces,2,34,0.00002,0.00031,33.63688
yakshas,0,27,0.00000,0.00024,33.14324
followers,0,27,0.00000,0.00024,33.14324
times,31,91,0.00026,0.00082,33.99549
filled,15,63,0.00013,0.00057,33.78586
weather,30,0,0.00026,0.00000,33.70352
perhaps,65,13,0.00055,0.00012,33.68633
practicing,0,27,0.00000,0.00024,33.14324
Moon,0,27,0.00000,0.00024,33.14324
pratyekabuddhas,0,27,0.00000,0.00024,33.14324
seated,3,37,0.00003,0.00034,33.87876
those,127,222,0.00108,0.00201,32.06613
experience,39,3,0.00033,0.00003,32.08519
under,95,29,0.00081,0.00026,32.54749
work,90,26,0.00077,0.00024,32.95480
dragon,1,30,0.00001,0.00027,32.42187
probably,29,0,0.00025,0.00000,32.44029
warm,33,1,0.00028,0.00001,32.58504
foremost,2,33,0.00002,0.00030,32.35650
money,29,0,0.00025,0.00000,32.44029
itself,57,10,0.00049,0.00009,32.37835
poor,69,16,0.00059,0.00014,31.58410
laymen,0,26,0.00000,0.00024,31.76758
age,15,61,0.00013,0.00055,31.79656
All,32,90,0.00027,0.00081,31.80478
Ananda,0,26,0.00000,0.00024,31.76758
canopies,0,26,0.00000,0.00024,31.76758
Living,0,26,0.00000,0.00024,31.76758
off,116,42,0.00099,0.00038,31.31105
season,28,0,0.00024,0.00000,31.17922
copy,1,29,0.00001,0.00026,31.10178
recited,0,26,0.00000,0.00024,31.76758
saved,0,26,0.00000,0.00024,31.76758
rods,28,0,0.00024,0.00000,31.17922
endowed,1,29,0.00001,0.00026,31.10178
particles,1,29,0.00001,0.00026,31.10178
about,160,70,0.00136,0.00063,30.71317
looking,31,1,0.00026,0.00001,30.16493
Yet,40,4,0.00034,0.00004,30.03979
Having,7,44,0.00006,0.00040,30.75498
robes,0,25,0.00000,0.00023,30.39457
shall,55,10,0.00047,0.00009,30.42846
length,46,6,0.00039,0.00005,30.87384
threefold,0,25,0.00000,0.00023,30.39457
mahasattva,0,25,0.00000,0.00023,30.39457
lapis,0,25,0.00000,0.00023,30.39457
fish,35,2,0.00030,0.00002,30.98266
existences,0,25,0.00000,0.00023,30.39457
wiped,0,25,0.00000,0.00023,30.39457
elephant,0,25,0.00000,0.00023,30.39457
last,103,36,0.00088,0.00033,29.30318
laywomen,0,24,0.00000,0.00022,29.02443
teachers,0,24,0.00000,0.00022,29.02443
sufferings,0,24,0.00000,0.00022,29.02443
seemed,34,2,0.00029,0.00002,29.81714
railroad,27,0,0.00023,0.00000,29.92046
numberless,0,24,0.00000,0.00022,29.02443
daughters,0,24,0.00000,0.00022,29.02443
convert,0,24,0.00000,0.00022,29.02443
expounding,0,24,0.00000,0.00022,29.02443
Sun,0,24,0.00000,0.00022,29.02443
cellar,27,0,0.00023,0.00000,29.92046
pines,27,0,0.00023,0.00000,29.92046
dinner,27,0,0.00023,0.00000,29.92046
necklaces,0,24,0.00000,0.00022,29.02443
they,588,742,0.00502,0.00672,28.38597
business,30,1,0.00026,0.00001,28.96030
savage,26,0,0.00022,0.00000,28.66418
year,51,9,0.00044,0.00008,28.72263
seek,12,52,0.00010,0.00047,28.45406
bread,26,0,0.00022,0.00000,28.66418
began,30,1,0.00026,0.00001,28.96030
myself,78,23,0.00067,0.00021,27.77499
good,114,196,0.00097,0.00177,27.01414
foot,35,3,0.00030,0.00003,27.57536
houses,35,3,0.00030,0.00003,27.57536
five,39,95,0.00033,0.00086,27.23774
place,60,126,0.00051,0.00114,27.79964
elephants,0,23,0.00000,0.00021,27.65737
jewels,1,26,0.00001,0.00024,27.16775
precepts,1,26,0.00001,0.00024,27.16775
deeply,0,23,0.00000,0.00021,27.65737
seeking,6,39,0.00005,0.00035,27.61132
somewhat,25,0,0.00021,0.00000,27.41055
cold,32,2,0.00027,0.00002,27.49993
immediately,9,45,0.00008,0.00041,27.28413
pressed,3,32,0.00003,0.00029,27.71227
unexcelled,0,23,0.00000,0.00021,27.65737
lazuli,0,23,0.00000,0.00021,27.65737
early,25,0,0.00021,0.00000,27.41055
bodhi,0,23,0.00000,0.00021,27.65737
neighbor,28,1,0.00024,0.00001,26.56307
hardly,24,0,0.00020,0.00000,26.15978
up,228,122,0.00194,0.00110,26.44938
Meanings,0,22,0.00000,0.00020,26.29366
trainer,0,22,0.00000,0.00020,26.29366
less,49,9,0.00042,0.00008,26.78321
different,13,52,0.00011,0.00047,26.59175
midst,18,61,0.00015,0.00055,26.68955
nearly,24,0,0.00020,0.00000,26.15978
line,34,3,0.00029,0.00003,26.46114
Mount,0,22,0.00000,0.00020,26.29366
carriages,0,22,0.00000,0.00020,26.29366
hours,24,0,0.00020,0.00000,26.15978
0,24,0,0.00020,0.00000,26.15978
corn,24,0,0.00020,0.00000,26.15978
bowed,0,22,0.00000,0.00020,26.29366
distant,33,3,0.00028,0.00003,25.35279
dark,36,4,0.00031,0.00004,25.69441
hear,56,117,0.00048,0.00106,25.53098
appropriate,1,25,0.00001,0.00023,25.86620
sins,4,33,0.00003,0.00030,25.96381
and,4552,4742,0.03883,0.04294,24.49677
or,868,632,0.00740,0.00572,24.65110
books,26,1,0.00022,0.00001,24.18370
even,166,81,0.00142,0.00073,24.78352
feet,84,29,0.00072,0.00026,24.24404
gandharvas,0,21,0.00000,0.00019,24.93359
emancipation,1,24,0.00001,0.00022,24.57015
karmas,0,21,0.00000,0.00019,24.93359
widely,1,24,0.00001,0.00022,24.57015
thy,23,0,0.00020,0.00000,24.91209
grass,40,6,0.00034,0.00005,24.68098
hell,1,24,0.00001,0.00022,24.57015
neighborhood,23,0,0.00020,0.00000,24.91209
near,49,10,0.00042,0.00009,24.72645
traveller,23,0,0.00020,0.00000,24.91209
transformed,1,24,0.00001,0.00022,24.57015
anyone,0,21,0.00000,0.00019,24.93359
correct,2,27,0.00002,0.00024,24.78543
leaf,26,1,0.00022,0.00001,24.18370
furniture,23,0,0.00020,0.00000,24.91209
window,29,2,0.00025,0.00002,24.06290
low,29,2,0.00025,0.00002,24.06290
tranquility,0,21,0.00000,0.00019,24.93359
accordance,0,21,0.00000,0.00019,24.93359
hoe,23,0,0.00020,0.00000,24.91209
boat,26,1,0.00022,0.00001,24.18370
scent,5,34,0.00004,0.00031,24.47168
upholds,0,21,0.00000,0.00019,24.93359
like,306,185,0.00261,0.00168,23.27146
whose,73,23,0.00062,0.00021,23.86474
night,83,29,0.00071,0.00026,23.52374
mankind,22,0,0.00019,0.00000,23.66775
told,39,6,0.00033,0.00005,23.67206
clothes,31,3,0.00026,0.00003,23.15506
course,36,5,0.00031,0.00005,23.04877
bed,22,0,0.00019,0.00000,23.66775
history,22,0,0.00019,0.00000,23.66775
acquire,5,33,0.00004,0.00030,23.34525
thick,34,4,0.00029,0.00004,23.55921
attendants,0,20,0.00000,0.00018,23.57748
protect,1,23,0.00001,0.00021,23.28004
dharanis,0,20,0.00000,0.00018,23.57748
similes,0,20,0.00000,0.00018,23.57748
abide,1,23,0.00001,0.00021,23.28004
converting,0,20,0.00000,0.00018,23.57748
worthy,11,45,0.00009,0.00041,23.35259
tax,22,0,0.00019,0.00000,23.66775
distinctions,4,31,0.00003,0.00028,23.63403
multitudes,0,20,0.00000,0.00018,23.57748
broadly,0,20,0.00000,0.00018,23.57748
miles,22,0,0.00019,0.00000,23.66775
civilized,21,0,0.00018,0.00000,22.42705
very,128,58,0.00109,0.00053,22.71062
though,167,85,0.00142,0.00077,22.30983
simple,21,0,0.00018,0.00000,22.42705
addressed,2,25,0.00002,0.00023,22.31288
everywhere,11,44,0.00009,0.00040,22.37357
bodies,16,53,0.00014,0.00048,22.54373
old,103,42,0.00088,0.00038,22.59947
paramitas,0,19,0.00000,0.00017,22.22571
This,87,153,0.00074,0.00139,22.40750
arrogance,0,19,0.00000,0.00017,22.22571
dharani,0,19,0.00000,0.00017,22.22571
Thereupon,0,19,0.00000,0.00017,22.22571
lost,42,8,0.00036,0.00007,22.19323
paths,3,28,0.00003,0.00025,22.89591
home,38,6,0.00032,0.00005,22.67060
bark,21,0,0.00018,0.00000,22.42705
dollars,21,0,0.00018,0.00000,22.42705
vehicles,0,19,0.00000,0.00017,22.22571
benefit,5,32,0.00004,0.00029,22.22767
delighted,0,19,0.00000,0.00017,22.22571
save,8,38,0.00007,0.00034,22.05195
nonhuman,0,19,0.00000,0.00017,22.22571
sandalwood,0,19,0.00000,0.00017,22.22571
clarity,0,19,0.00000,0.00017,22.22571
week,21,0,0.00018,0.00000,22.42705
pity,6,34,0.00005,0.00031,22.08922
bit,0,19,0.00000,0.00017,22.22571
afternoon,21,0,0.00018,0.00000,22.42705
lake,21,0,0.00018,0.00000,22.42705
inch,21,0,0.00018,0.00000,22.42705
finished,5,31,0.00004,0.00028,21.11942
ancient,20,0,0.00017,0.00000,21.19031
Innumerable,1,22,0.00001,0.00020,21.99636
inches,24,1,0.00020,0.00001,21.82485
flower,4,29,0.00003,0.00026,21.33813
verses,3,27,0.00003,0.00024,21.71151
cut,37,6,0.00032,0.00005,21.67696
heat,27,2,0.00023,0.00002,21.80135
trade,20,0,0.00017,0.00000,21.19031
hill,20,0,0.00017,0.00000,21.19031
received,10,41,0.00009,0.00037,21.24232
sage,1,22,0.00001,0.00020,21.99636
perch,20,0,0.00017,0.00000,21.19031
lived,48,12,0.00041,0.00011,20.18473
particular,29,3,0.00025,0.00003,20.98519
natural,31,4,0.00026,0.00004,20.41114
always,54,15,0.00046,0.00014,20.39776
said,83,145,0.00071,0.00131,20.84692
inhabitants,23,1,0.00020,0.00001,20.65411
He,103,169,0.00088,0.00153,20.26178
kimnaras,0,18,0.00000,0.00016,20.87872
merits,0,18,0.00000,0.00016,20.87872
conduct,4,28,0.00003,0.00025,20.20421
stage,5,30,0.00004,0.00027,20.02105
also,70,127,0.00060,0.00115,20.15349
Heavenly,0,18,0.00000,0.00016,20.87872
doctrine,1,21,0.00001,0.00019,20.71966
next,42,9,0.00036,0.00008,20.21986
lay,33,5,0.00028,0.00005,20.00295
learned,31,4,0.00026,0.00004,20.41114
love,42,9,0.00036,0.00008,20.21986
air,63,20,0.00054,0.00018,20.30819
instead,26,2,0.00022,0.00002,20.68074
rejoice,3,26,0.00003,0.00024,20.53606
spread,1,21,0.00001,0.00019,20.71966
